,ID,ID,ID,mean,mean,mean,cv,cv,cv,skewness,skewness,skewness,kurtosis,kurtosis,kurtosis,weekend_ratio,weekend_ratio,weekend_ratio,summer_peak,summer_peak,summer_peak,winter_peak,winter_peak,winter_peak,trend_slope,trend_slope,trend_slope,seasonal_strength_weekly,seasonal_strength_weekly,seasonal_strength_weekly,n_peaks,n_peaks,n_peaks,peak_height_ratio,peak_height_ratio,peak_height_ratio,zero_percentage,zero_percentage,zero_percentage,avg_zero_run,avg_zero_run,avg_zero_run
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,153601.9729635444,87966.54551666502,5733,14.072621869506749,13.654490476382028,5733,0.7318033257956076,0.5170213971183122,5733,1.3752765313103597,1.5535874679537904,5733,5.001270095042475,15.65073066321148,5733,1.035007462935852,0.1776252371616006,5733,0.6454095632188459,0.41641996679082977,5733,1.0,0.0,5733,-0.00909901519777865,0.029015730459926933,5733,0.7750842354344539,0.1488092435904804,5733,13.275248560962847,4.119923715130269,5733,4.355178154001981,4.396032900424004,5733,2.611174431135292,11.515524516135995,5733,2.278008817333268,13.196831211231418,5733
1,153296.86203615603,88331.84008733259,11561,6.874656189941857,4.78204431153398,11561,0.4040058578615771,0.23318622333053837,11561,0.9539522588268683,0.8888436250388659,11561,2.644231908011225,6.666662902109366,11561,1.0808740120510738,0.19205476174983654,11561,0.9632249212195975,0.26460104896712816,11561,1.0,0.0,11561,0.0003422174969634028,0.006555970537719168,11561,0.35870246624355456,0.16359306206680654,11561,23.80200674682121,4.7490646815748265,11561,2.781141809681322,1.6155570050602162,11561,0.7544969921310783,5.720143180640708,11561,0.5497042840823863,5.438359164697196,11561
2,146023.57142857142,90564.2242151592,84,0.5871380162752772,1.8843844283683269,84,8.744497846511845,4.703656660421885,84,13.552272210083007,3.6605120184052233,84,207.5519665755762,99.7141273682675,84,1.912160554614338,3.757031799779962,84,0.9716044087280493,1.5966590308213857,84,1.0,0.0,84,9.599281088084634e-05,0.00525063023742733,84,0.24997010031192587,0.2573520297836381,84,3.4523809523809526,2.608626846024838,84,132.93813911179296,92.73277219764576,84,70.30006523157209,39.1345145601509,84,50.492950961179545,62.00957307846502,84
3,43713.0,,1,0.0416136986301369,,1,14.78791791646014,,1,17.656978511848813,,1,321.3249297302449,,1,387.70132269986385,,1,0.0,,1,1.0,,1,0.0005765420521539,,1,0.2100636517455077,,1,2.0,,1,275.1257488972282,,1,97.53424657534246,,1,50.857142857142854,,1
4,143948.875,89340.56643994726,168,0.10062307844096544,0.5541357582464276,168,0.22469672094913914,0.8925852498942777,168,1.0054640379809028,0.851351122387826,168,1.9909659189193587,7.857505499014786,168,0.9972503893509972,0.06245487748833364,168,0.9886721037946106,0.5142949570032455,168,1.0,0.0,168,-0.0010590913630184565,0.006898980553324498,168,0.4958484792665424,0.12217020836103773,168,0.7142857142857143,2.7558166185803796,168,1.554019914367324,8.16913557739576,168,98.13763861709066,7.344394958816878,168,355.45535714285717,37.407884081947905,168
