PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,ID,cluster_pca
0.4509662829742775,-0.7014357133100699,0.2570371812942412,0.0412898154630686,0.0457076213013336,0.4702334604086395,-0.3727883767315746,-0.2231213874594454,-0.0609876598339137,-0.0961489015527215,22,0
4.905502554515067,1.397363227834796,0.1758312092026157,2.2445439954878412,-2.185846012901961,-1.3930891274851154,1.200155034374427,0.202489182571316,-0.3424546529737851,0.5850493076676498,42,1
0.1231896010800294,0.3585241029409338,0.7465278552591673,2.0317593819713378,-1.310454927766166,0.3464528816423513,-0.2331765212119344,0.0672596524981309,-0.6898916899958818,0.0028033173895793,56,0
0.7429020033526877,1.0462185723359876,0.2272800803931521,1.3429519188705246,1.4898501235844603,0.0235350882130795,0.4615128674940512,0.2801983196270999,-0.7040458616751127,-0.2958396855219634,58,1
-2.4741866171391043,-0.8960912225041787,0.017262473667696,-0.1406542603775626,-0.3048123950752121,-0.2214340813237747,0.1946582761553958,-0.2173329004889064,-0.0031258513017987,-0.0858089844589551,64,0
9.66951907117602,0.7371787957884014,-0.7959733686050424,0.552966847849733,-3.855593185572617,-1.610218194862508,-0.0981653273434744,1.721705352265788,3.7114208931674746,-0.7820856539310069,88,4
1.4434837178550444,0.6000434424899155,0.3569350450147368,0.7730345978230825,0.756962654127926,-0.2096056475115863,0.4288225289485451,-1.0511383330267547,-0.1087521869031315,-0.1923506709123066,95,1
0.786751879836107,-0.4480084858790784,0.1660557575122683,-0.4075327118215626,1.7362014102283123,0.5820343584034365,-0.1891260904433909,-0.1969596976041099,0.1068456904766863,0.2129723849727034,163,0
1.3237278291777723,0.4588156037893041,1.344892404095333,2.384530311414594,3.0183647472142465,2.7247462899214487,-1.7498517500941368,5.32619653222982,-1.411376475036435,-0.2136138445680427,198,1
-2.0069818058248545,-0.812055777765144,-0.2006100105298968,-0.118566694876776,-0.5186478707624945,-0.1299292867824954,0.1824971284312537,0.1228514894489593,-0.245738649854082,0.0067821465650334,202,0
-1.9392647874799125,-0.2716289045844426,-0.3399385245499282,0.1362218194883552,-0.3325707763478943,-0.1276923973198787,-0.0292424742497847,0.2161335902344098,0.3086864425608312,0.010642153243814,209,0
0.3063098631562967,-0.1470274220085388,-0.1498553609442426,0.3086973736261276,-0.203217344823265,-0.1384917032587249,0.1237965462158188,-0.155352866542746,0.0704945764613816,0.0326774036535494,218,0
3.8484531500981025,-0.6877221362947926,0.0429920548146628,-0.7504933868231595,0.0914470245342575,0.3396876118589766,-0.3502889795376386,-0.6234861538477067,0.1548915270174169,-0.2477969135837836,223,1
-1.2249831825333732,-0.1458514536057542,0.0083756501294712,0.2409409311764103,0.6996287814304207,0.153519787940168,0.0349632389853955,0.4680223135264614,0.1830162206747556,0.1284838871571787,228,0
-1.494400644596153,-0.4438877517565219,0.1711572873485194,0.3608771484152129,-0.1429546375768756,-0.0026866202642023,0.1266448169286678,-0.2955553264531116,-0.0534954585379702,0.1614342896065005,245,0
-2.061231306726298,-1.1465753449918334,0.2299939705060338,-0.2461489697054684,-0.0764569244416522,0.0135091258643405,0.1093286658259206,-0.2199614443149134,0.0869530037597999,0.5185792144332761,246,0
-2.480617295574124,-0.4481670590780981,-0.3135333289763956,-0.6486716838320117,-1.0361690784305624,-0.2689232526427662,0.1801342212757027,0.2933872632109921,-0.1519835598228637,0.0339983067980526,322,0
-1.5495403997891188,-1.3359453276360351,-0.4108457376840025,-0.867275093470946,-0.3287453883179837,0.0268649301588171,-0.0098730361789381,0.2955558376437511,-0.0457120835778841,0.0328799014360193,325,0
-2.317629125081522,-1.13186312641836,-0.3672824358188531,-0.3876877363092593,-0.8937804508623906,-0.2039360637438957,0.0543092232062894,0.4085000292649311,-0.3709514536061825,-0.1172280692682263,342,0
-0.6442906923051457,0.3749085348635378,0.6424170207390374,0.7598922334254835,2.0541291988539148,0.2445892354905052,0.2043842445444718,-0.4482756179106861,1.3121702039900345,1.913423084750966,344,0
