ID,mean,cv,skewness,kurtosis,weekend_ratio,summer_peak,winter_peak,trend_slope,seasonal_strength_weekly,n_peaks,peak_height_ratio,zero_percentage,avg_zero_run,cluster
22,11.857920547945204,0.3350634011137579,0.4299181094108696,0.6576543164276232,1.0116226354173845,0.8148861977428631,1.0,-0.0095052793153399,0.5896254747929263,21.0,2.1879046916447504,0.0,0.0,1
42,14.054819178082193,1.3486781569399786,1.3670745331648182,1.0275412050338932,1.1819924486918485,0.0182650253050387,1.0,-0.0226953598389035,0.8988510926067281,13.0,5.780792977166318,0.0,0.0,0
56,5.609575342465754,0.9288465929630008,0.4945569234435806,-0.7885568272926644,1.1956593858663918,0.2202215663614851,1.0,-0.0165714864407992,0.7829751279823632,18.0,4.187126220088449,0.0,0.0,0
58,9.3202,0.5677675951424851,1.923010589757476,4.959360644789939,1.1796307729138733,0.7152312681581315,1.0,0.016987300572771,0.6915140387801063,11.0,4.267397695328427,0.0,0.0,0
64,2.438654794520548,0.2111304863356665,0.1680668697405486,2.3902421721267704,0.9828069339442772,0.8867177616925496,1.0,-0.000220143353166,0.2349085729903338,23.0,1.8042734092116808,0.0,0.0,1
88,26.068446575342467,1.1511188540637165,1.766796652511218,2.5687438380666743,1.308662166599002,0.613116879906443,1.0,-0.0976053770393092,0.3230982953028797,17.0,5.468680290863368,0.0,0.0,0
95,12.000257534246575,0.543404672276131,1.0784037269304796,2.04280072261085,0.9700443600365156,0.7239235254221257,1.0,-0.0055775160837366,0.5813797571122136,10.0,3.103766722814625,0.0,0.0,0
163,14.639000005479453,0.2318321052696123,0.8388690462773796,0.9708261096571832,1.025567486317566,1.248077481865269,1.0,0.0085922351707578,0.5827990898176806,17.0,2.0205615130082952,0.0,0.0,1
198,11.80793698630137,0.5593578932996697,0.6858936814983695,-0.6850473514025999,1.203007252474507,0.9728833561870868,1.0,0.0502049427105569,0.8428684334813895,16.0,2.6003695679966365,0.0,0.0,0
202,3.6372438356164385,0.4327183964589117,0.7590891015389196,0.0146834346207778,1.2513509092380444,0.8024060272748718,1.0,0.0021000797091971,0.3204393464124746,25.0,2.446907714256015,0.0,0.0,1
